,mp-19147.cif,mp-19299.cif,mp-22628.cif,mp-24854.cif,mp-28295.cif,mp-31529.cif,mp-31632.cif,mp-31793.cif,mp-32059.cif,mp-32331.cif,mp-38220.cif,mp-504580.cif,mp-504838.cif,mp-541588.cif,mp-545343.cif,mp-546285.cif,mp-547792.cif,mp-548403.cif,mp-556953.cif,mp-654812.cif,mp-674478.cif,mp-675324.cif,mp-675651.cif,mp-675784.cif,mp-676020.cif,mp-676058.cif,mp-690525.cif,mp-690789.cif,mp-754152.cif,mp-754409.cif,mp-756214.cif,mp-760461.cif,mp-761288.cif
Cell_Volume_per_Atom,9.3110686399,9.09383332298,18.6485378094,9.69263580452,21.935607489499997,11.995782729,11.5463350094,12.1768158881,12.581894690999999,12.6081147355,18.897814682899998,10.2934973978,33.3690345036,15.9035709021,11.4019181566,35.084022294,16.0317324383,10.5127958362,30.8224913898,12.985251313,17.7217104498,17.3148754276,22.3254185068,10.713264922899999,16.743911848299998,15.682342371199999,11.2075154377,16.2041971391,15.9816248607,11.995585175899999,10.406846662000001,11.7689272527,9.493482909319999
Band_Gap,3.4031,2.3026,3.0696,2.3972,3.0912,0.0,0.0,0.0,1.0978000000000003,0.00550000000000006,3.0132,0.6943999999999999,1.9062,2.3004,0.0,0.8108000000000002,2.6657,5.717699999999999,1.8263000000000005,0.0,4.1595,4.1101,2.7986,2.8385,4.0177999999999985,0.0,3.4490000000000003,0.0,2.4743000000000004,5.0979,4.9586000000000015,4.2791,0.0
Enthalpy_of_Formation,-1.5468604825,-2.620575816083333,-1.5074851492260002,-1.7012288165,-1.39649448475,-2.1021357629940467,-2.4304037164940477,-2.3000932554940463,-2.5221735284940485,-1.9478376724940485,-1.4854932842259998,-1.8120901297500007,-1.114781071056548,-1.8021073757500008,-1.15125704075,-1.17966284125,-2.07168481875,-2.3916188935,-1.0834145800565471,1.1185630024999995,-2.646058821500001,-2.629237674500001,-1.1603540000565489,-0.9335878917239996,-2.6623845865,-1.1974051614374999,-1.9494970349678624,-0.1271004416719997,-2.7759100877500003,-3.549874644083333,-3.70951084475,-3.555435525083334,-2.4018779885511954
